Row #,Name,Street,City,State,Zip,Phone,Website,Latitude,Longitude,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Last Update,Menu,Item1,Item2,Item3,Item4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Kona Brewing Co,7192 Kalanianaole Hwy,Honolulu,HI,96825,(808) 396-5662,https://www.konabrewinghawaii.com/,21.27809042,-157.7056245,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,,,,,7/29/2022,https://qrcgcustomers.s3-eu-west-1.amazonaws.com/account5817317/28754955_1.pdf?0.5235677811790067,$2 Off All Draft Beers,"$4.95 House Wine, Well Liquor + Soda",$3.95 Three Pepperoni Rolls,$3.95 Kalua Pork Taco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Osoyami Bar And Grill,1820 Algaroba St,Honolulu,HI,96826,(808) 200-0514,https://osoyami-bar-and-grill.square.site/,21.29498667,-157.8319873,6:00 PM,7:00 PM,6:00 PM,7:00 PM,6:00 PM,7:00 PM,6:00 PM,7:00 PM,6:00 PM,7:00 PM,6:00 PM,7:00 PM,6:00 PM,11:59 PM,7/29/2022,https://osoyami-bar-and-grill.square.site/menu,"$3 Bud Light, Coors Light, Miller High Life, Miller Light, PBR",$3 Well Drinks,$5 Fried Edamame,$5 Fried Kimchi Potstickers,$5 Mozzarella Sticks,$5 Taquitos,$8 Spinach Artichoke Dip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Nico's Kailua,970 N Kalaheo Ave,Kailua,HI,96734,(808) 263-3787,https://nicoskailua.com/,21.42032795,-157.7477307,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,3:00 PM,6:00 PM,7/29/2022,https://nicoskailua.com/bar/,$5 Draft Beer,$5 Wells & Mixers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Margaritas,808 Sheridan St Ste 111,Honolulu,HI,96814,(808) 330-6880,https://www.margaritashawaii.com/,21.29686709,-157.8421789,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7/29/2022,https://www.margaritashawaii.com/new-page-1,$2 Off All Margaritas,$2 Off All Tap Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Tanaka Ramen & Izakaya,1450 Ala Moana Blvd Fl 2 Ala Moana Shopping Center,Honolulu,HI,96814,(808) 400-0506,https://tanakaramen.com/,21.29188007,-157.8441482,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,,,,,5/13/2022,,$4 Asahi Supper Dry,$4 Sapporo,$6-7 Well Drinks,$6 Wine By Glass,$5 House Sake (Hot) 6oz,$3 Edamame,$3.50 Original Fries,$4 Cumin Fries,$5 Karaage Chicken (5pc),$5 Crispy Chicken Wings,$5 Pork Gyoza (6pc),$5 Oyster (3pc),$3.50 Seaweed Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Maui Brewing Co. Kailua,573 Kailua Rd Ste 105,Kailua,HI,96734,(808) 518-2739,https://www.mbcrestaurants.com/kailua/,21.39366798,-157.7412837,3:30 PM,5:30 PM,3:30 PM,5:30 PM,3:30 PM,5:30 PM,3:30 PM,5:30 PM,3:30 PM,5:30 PM,,,,,7/29/2022,https://www.mbcrestaurants.com/wp-content/uploads/2022/06/06.16-FINAL-MBCW-Food-Drink-Menu.pdf,$2 Off All Beers,$3 Off Culinary & Classic Cocktails,50% Off Select Apps,$10 Pizzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Easy ‘Que,767 Kailua Rd Ste 106,Kailua,HI,96734,(808) 762-3089,https://www.easyquehi.com/easy-que,21.39315504,-157.7448759,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,7/29/2022,https://www.easyquehi.com/easy-que,$3 Bourbon,$10 PBR Pitcher,$5 Heineken Bottle,$6 Gin & Tonic,$8 Are Yuzu Good For It?,$9 BBQ Brisket Flatbread,$9 Loaded Tots With Kalua Pig,$8 Fried Mac n' Cheese Balls,$8 Spinach Dip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Aloha Table,2238 Lauula St Fl 2,Honolulu,HI,96815,(808) 922-2221,http://waikiki.alohatable.com,21.2798769,-157.8282087,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,7/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Waikiki Brewing Company - Kakaako,831 Queen St,Honolulu,HI,96813,(808) 591-0387,https://waikikibrewing.com/kakaako/,21.29917369,-157.8559676,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,7/29/2022,https://waikikibrewing.com/pdf-menus/,$5.50 Regular WBC Drafts,$5 Well Drinks & House Wines,$12 Regular WBC Growler Fills,15% Off Appetizers & Pizzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Waikiki Brewing Company - Kakaako,831 Queen St,Honolulu,HI,96813,(808) 591-0387,https://waikikibrewing.com/kakaako/,21.29917369,-157.8559676,9:00 PM,10:00 PM,9:00 PM,10:00 PM,9:00 PM,10:00 PM,9:00 PM,10:00 PM,9:00 PM,11:00 PM,9:00 PM,11:00 PM,9:00 PM,10:00 PM,7/29/2022,https://waikikibrewing.com/pdf-menus/,$5.50 Regular WBC Drafts,$5 Well Drinks & House Wines,$12 Regular WBC Growler Fills,15% Off Appetizers & Pizzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Lulu's Waikiki,2586 Kalakaua Ave,Honolulu,HI,96815,(808) 926-5222,https://www.luluswaikiki.com/,21.27180008,-157.8226419,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,7/29/2022,https://www.luluswaikiki.com/menus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amuse Wine Bar,1250 Kapiolani Blvd Fl 2,Honolulu,HI,96814,(808) 237-5428,https://www.stagerestauranthawaii.com/location/amuse-wine-bar/,21.29517269,-157.8462491,,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,,,7/29/2022,https://www.stagerestauranthawaii.com/location/amuse-wine-bar/,$7 Beer,$7 Wine By The Glass,$7 Cocktail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Smith & Kings,69 N King St,Honolulu,HI,96817,(808) 744-5772,https://www.thesmithandkings.com/,21.31131865,-157.8634994,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,1/30/2022,https://www.thesmithandkings.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tipsy Pig II Bar & Grill,1272 S King St,Honolulu,HI,96814,(808) 367-8060,No Website Available,21.29941738,-157.8422739,5:30 PM,6:30 PM,5:30 PM,6:30 PM,5:30 PM,6:30 PM,5:30 PM,6:30 PM,5:30 PM,6:30 PM,5:30 PM,6:30 PM,5:30 PM,6:30 PM,1/29/2019,,$2 Off Any Menu Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Skybox Taphouse,2330 Kalakaua Ave Ste 302,Honolulu,HI,96815,(808) 378-8542,https://www.skyboxtaphouse.com/,21.27836718,-157.8266212,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,,,,,7/29/2022,https://www.skyboxtaphouse.com/menu/,$5 Bud Light,$6 Kona Longboard,$7 Maui Coconut Hiew,$2 Off Local Can Beer/Cider,$7 House Wine ,$5 Limoncello Shot,$7 Pain-Relief,$7 Moscow/Kentucky Mule,$20 Four Beer Variety Buckets,$2 Off Jameson & Tito's,$7 Green Tea Shots,$9 Happy Hour Personal Cheese Pizza,$10 Happy Hour Personal Pepperoni Pizza,$14 Burger & Beer Combo,$5 Off Any Pizza,$3 Off Any Dessert,$14 Waffle Battered Chicken Strips,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Encore Saloon,10 North Hotel St,Honolulu,HI,96817,(808) 367-1656,http://www.encoresaloon.com/#bienvenidos,21.31127167,-157.8620787,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,11:59 PM,2:00 PM,5:30 PM,11/12/2021,https://static1.squarespace.com/static/57d8bcffcd0f6826f94c8779/t/611c0d58a2fd2b352cdf7c9c/1629228385965/Encore+Saloon_Table+Tent_No+Pricing_8.17.21.pdf,$6 Margarita,$6 Slushies,$9 Paloma,$9 Mezcalrita,$25 Margarita Pitcher,$25 Slushy Pitcher,$29 Paloma Pitcher,$1 Off Draft Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Encore Saloon,10 North Hotel St,Honolulu,HI,96817,(808) 367-1656,http://www.encoresaloon.com/#bienvenidos,21.31127167,-157.8620787,,,,,,,,,,,,,12:00 AM,1:00 AM,11/12/2021,https://static1.squarespace.com/static/57d8bcffcd0f6826f94c8779/t/611c0d58a2fd2b352cdf7c9c/1629228385965/Encore+Saloon_Table+Tent_No+Pricing_8.17.21.pdf,$6 Margarita,$6 Slushies,$9 Paloma,$9 Mezcalrita,$25 Margarita Pitcher,$25 Slushy Pitcher,$29 Paloma Pitcher,$1 Off Draft Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Tropics Ale House Waikiki,1778 Ala Moana Blvd Ste 115,Honolulu,HI,96815,(808) 691-9551,https://www.tropicsalehousehonolulu.com/,21.28535043,-157.8381379,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,7:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,7/29/2022,https://www.tropicsalehousehonolulu.com/happy-hour,$5 Happy Hour Pils,$5 Guinness Nitro Stout,$5 Happy Hour Pale Ale,"$5 Edamame (Salt, Garlic or Angry)",$6 Happy Hour IPA,$6 Lilikoi Margarita,$6 Peach Palmer,$6 Happy Hour Red/White Wine,"$6 French Fries (Salt, Fuikake or Truffle Parmesan)",$7 Hawaii Tai,$7 Ale House Sliders,$7 Pulled Pork Sliders,$7 Greek Salad,$7 Fried Calamari,$8 Volcano Nachos,$9 Cheese Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Kailua Town Pub & Grill,26 Hoolai St Ste 1100,Kailua,HI,96734,(808) 230-8444,https://kailuatownpub.com/,21.3946317,-157.7443483,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,7/29/2022,https://kailuatownpub.com/wp-content/uploads/2021/02/KTP-Menu-010821.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Fete Hawaii,2 N Hotel St,Honolulu,HI,96817,(808) 369-1390,https://www.fetehawaii.com/,21.31122958,-157.8620231,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,8:00 PM,11:00 PM,,,10/1/2017,https://irp.cdn-website.com/9eedda4e/files/uploaded/dinner-8x14_June-2022.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Little Joe's Steakhouse,580 N Nimitz Hwy,Honolulu,HI,96817,(808) 524-0088,https://www.littlejoessteakhouse.com/menus,21.31370438,-157.8693893,4:30 PM,6:30 PM,4:30 PM,6:30 PM,4:30 PM,6:30 PM,4:30 PM,6:30 PM,4:30 PM,6:30 PM,4:30 PM,6:30 PM,4:30 PM,6:30 PM,7/29/2022,https://www.littlejoessteakhouse.com/_files/ugd/cb1349_c5964d3dab2d408ba8e00003d9db323e.pdf,$4.95 Beer,$8.95 White & Sparkling Wine,$7.50-11.95 Red Wine By The Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pau Hana Base,407 Seaside Ave Ste 107,Honolulu,HI,96815,(808) 492-1280,No Website Available,21.28032528,-157.8266523,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,10/22/2019,,$3 Beer,$3-3.50 Pupus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Yakitori Glad,766 Kapahulu Ave,Honolulu,HI,96816,(808) 734-0077,https://yakitori-glad-hawaii.business.site/,21.28139908,-157.8143173,5:00 PM,6:30 PM,5:00 PM,6:30 PM,5:00 PM,6:30 PM,5:00 PM,6:30 PM,5:00 PM,6:30 PM,5:00 PM,6:30 PM,5:00 PM,6:30 PM,4/14/2021,,$3 Asahi Pint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ruscello,1450 Ala Moana Blvd Ste 2950,Honolulu,HI,96814,(808) 953-6110,https://www.nordstrom.com/store-details/united-states/hi/honolulu/nordstrom-ala-moana,21.29236454,-157.8469953,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,,,,,2/9/2020,https://n.nordstrommedia.com/id/57f4bfc5-f3ad-40e7-b78e-79ac25dc7cb7.pdf,$4 Beers,$5 Wine,$6 Spirits,$8 Market Burger,$5 Crispy Brussels Sprouts,$6 Fried Calamari,$6 Heirloom Tomatoes & Burrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Tropics Bar & Grill,2005 Kalia Rd,Honolulu,HI,96815,(808) 949-4321,https://www.hiltonhawaiianvillage.com/dining/tropics-bar-and-grill,21.28163229,-157.8375245,2:00 PM,4:00 PM,2:00 PM,4:00 PM,2:00 PM,4:00 PM,2:00 PM,4:00 PM,2:00 PM,4:00 PM,2:00 PM,4:00 PM,2:00 PM,4:00 PM,11/20/2019,,$2 Off Blue Hawaii,$2 Off Village Mai Tai,$2 Off Draft Beer,$2 Off Wine By The Glass,$8 Ocean Breeze,$8 Mad About Mango,$35 Bottle of Select Red/Wine Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Square Barrels,1001 Bishop St Ste 108,Honolulu,HI,96813,(808) 524-2747,https://www.squarebarrels.com/,21.30894248,-157.8601201,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,,,6/4/2019,https://www.squarebarrels.com/menu,$2 Off Beer Faucets,$2 Off Modern Times Cans,$2 Off Wine By The Glass,$2 Off Select Cocktails ,$2 Off Appetizers,$10 Drive-Thru Burger With Fries,$9 Glazed & Confused Burger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,The Shack Kailua,1051 Keolu Dr,Kailua,HI,96734,(808) 261-1191,http://www.theshackkailua.com/,21.37797188,-157.7281356,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,4/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Hangry Mama Bar & Kitchen,803 Kamehameha Hwy Unit 116,Pearl City,HI,96782,(808) 888-8834,No Website Available,21.39256342,-157.9677976,11:00 AM,6:00 PM,11:00 AM,6:00 PM,11:00 AM,6:00 PM,11:00 AM,6:00 PM,11:00 AM,6:00 PM,11:00 AM,6:00 PM,11:00 AM,6:00 PM,7/19/2022,,$3 Domestic Beers,$5 Import Beers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Cafe Duck Butt,901 Kawaiahao St,Honolulu,HI,96814,(808) 593-1880,No Website Available,21.29838284,-157.8542373,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,7/17/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Mai Tai's,1450 Ala Moana Blvd Ste 3247,Honolulu,HI,96814,(808) 941-4400,https://menus.menupoint.net/Mai+Tais+Bar+%26+Grill/index.html,21.29030568,-157.8425056,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,4:00 PM,7:00 PM,7/29/2022,https://menus.menupoint.net/Mai+Tais+Bar+%26+Grill/happyhour.html,$4.50 Pints or Bottles,$10.50 Pitchers,$6 Wine,$6.50 Original Mai Tai,$6.50 Makai Tai,$6.50 1944 Mai Tai,$6.50 Mango Sunrise,$6.50 Cucumber Spritz,$6.50 Lychee Sunset,$6.50 Mango Mojito,$6.50 Lilikoi Mojito,$10 Popcorn Shrimp,$10 Fire Shrimp,$9 Onion Rings,$8 Edamame,$10 Potato Cakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Mai Tai's,1450 Ala Moana Blvd Ste 3247,Honolulu,HI,96814,(808) 941-4400,https://menus.menupoint.net/Mai+Tais+Bar+%26+Grill/index.html,21.29030568,-157.8425056,8:00 PM,11:00 PM,8:00 PM,11:00 PM,8:00 PM,11:00 PM,8:00 PM,11:00 PM,8:00 PM,11:00 PM,8:00 PM,11:00 PM,8:00 PM,11:00 PM,7/29/2022,https://menus.menupoint.net/Mai+Tais+Bar+%26+Grill/happyhour.html,$6.50 Original Mai Tai,$6.50 Makai Tai,$6.50 1944 Mai Tai,$6.50 Mango Sunrise,$6.50 Cucumber Spritz,$6.50 Lychee Sunset,$6.50 Tropical Tsunami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Manifest,32 N Hotel St,Honolulu,HI,96817,No Phone Number Provided,https://www.manifesthawaii.com/,21.31147865,-157.8623118,6:00 PM,9:00 PM,6:00 PM,9:00 PM,6:00 PM,9:00 PM,6:00 PM,9:00 PM,6:00 PM,9:00 PM,6:00 PM,9:00 PM,6:00 PM,9:00 PM,3/22/2020,https://www.yelp.com/biz_photos/manifest-honolulu?select=44q4MhzTShq4lMjfYztJbQ,$2 Off Menu Cocktails,$1 Off Local Beers,$1 Off Wine By The Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Pesca Waikiki Beach,1777 Ala Moana Blvd Fl 30,Honolulu,HI,96815,(808) 777-3100,https://www.pescasea.com/,21.28431545,-157.8383958,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,6/4/2022,https://www.pescasea.com/happy-hour,$7 Beer,$10 Wine,$10 Well Cocktails,$12 Specialty Cocktails,$12 Purple Potato Chips,$12 Calamari,$12 Burrata & Tomato Salad,$18 2pc Jumbo Shrimp,$14 3pc Fresh Oysters,$14 Local Ahi Sashimi,$18 Seafood Bruchetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,eight50,850 Kamehameha Hwy,Pearl City,HI,96782,(808) 454-1850,http://www.eight50hi.com/,21.39432984,-157.9675972,3:30 PM,6:00 PM,3:30 PM,6:00 PM,3:30 PM,6:00 PM,3:30 PM,6:00 PM,3:30 PM,6:00 PM,3:30 PM,6:00 PM,3:30 PM,6:00 PM,9/22/2017,https://www.yelp.com/biz_photos/eight50-pearl-city-5?select=FpdjtM92CEuHpTffOFZCmA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,eight50,850 Kamehameha Hwy,Pearl City,HI,96782,(808) 454-1850,http://www.eight50hi.com/,21.39432984,-157.9675972,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9:00 PM,11:30 PM,9/22/2017,https://www.yelp.com/biz_photos/eight50-pearl-city-5?select=FpdjtM92CEuHpTffOFZCmA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Taps & Apps,95-1830 Meheula Pkwy Ste C6,Mililani,HI,96789,(808) 626-8277,https://tapsandappsbrewpub.com/,21.46707574,-158.0023171,3:30 PM,7:00 PM,3:30 PM,7:00 PM,3:30 PM,7:00 PM,3:30 PM,7:00 PM,3:30 PM,7:00 PM,,,,,4/10/2018,https://tapsandappsbrewpub.com/menus/,"$4 Guinness, Fat Tire & Bikini Blonde",$12 Craft Beer Flights,$5 Well Drinks,$5 House Long Island,$7 Pork Belly Arancini w/ Hoisen Sriracha Sauce,$8 Golden Fried Buttermilk Chicken Strips w/ Pub Ranch,$7 Cheese Burger Sliders,$8 Calamari Strips w/ Sweet Chili Sauce,$7 Pupu Crab Melt,$9 House Wings ,$8 Hapa Nachos,$8 Bacon & Cheese Fries,$15 T&A App Flight (Choose Any 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Oahu Mexican Grill,2520 Kalakaua Ave Fl 2,Honolulu,HI,96815,(808) 927-3720,https://www.omg.menu/,21.27345412,-157.8234995,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,5/21/2018,https://www.yelp.com/biz_photos/oahu-mexican-grill-honolulu?select=9z629aKnu6XYQGv1yYaIBQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Stripsteak Waikiki,2330 Kalakaua Ave Ste 330,Honolulu,HI,96815,(808) 896-2545,https://www.michaelmina.net/restaurants/stripsteak-waikiki-jp/,21.27798509,-157.8265664,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,7/30/2022,http://mx.michaelmina.net/recipe-exchange/download/?file_id=33061&nodl=true&_gl=1*a39yl4*_ga*NDA4NjY1NTAxLjE2NTc4NjcwODY.*_ga_2DRBF0KKSN*MTY1OTIxMjE2MC4yLjEuMTY1OTIxMjE3MS4w,$5 Beer,$9 Wine,$9 Sake,$9 Spring Julep,$9 Lilikoi Mai Tai,$9 Island Tea,$9 Pau Hana (Heineken & Jim Beam),$9 Da Kine (Miller High Life & Espolon Blanco),$7 Spicy Ahi Tuna Taco,$16 Foie Gras & Pineapple Kushiyaki,$14 Sesame Shrimp Toast,$12 Pacific Oysters (3pc),$14 Hand-Cut Prime Beef Tartare,$8 Kung Pao Edamame,$9 Duck Fat French Fries,$19 Udon Noodle Carbonara,$21 Holo Holo Burger & Fries,$49 12oz NY Strip Steak,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Heavenly,342 Seaside Ave,Honolulu,HI,96815,(808) 923-1100,https://www.heavenly-waikiki.com/,21.27990468,-157.8278577,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,7/30/2022,https://sites.google.com/alohatable.jp/heavenlyislandlifestyle/home/happy-hour4pm-pm,$5 Kona Longboard Lager,$5 Kona Big Wave Golden Ale,$5 Kona Fire Rock Pale Ale,$5.50 Maui Brewing Co. Big Swell IPA,$$ Maui Brewing Co. Bikini Blonde Lager,$5.50 Maui Brewing Co. Mana Wheat,$4 Bud Light,$4.50 Heineken,$4.50 Corona,"$8.50 Heavenly's Mojito (Standard, Mango, Acai)",$8.50 Mai Tai,$5 Wine By The Glass,"$5 Heavenly's Mimosa (Pineapple, Guava, Mango, Acai)",$10 Crispy Flat Bread Pizza,$10.50 Original Fried Chicken Wings ,$7.50 Avocado Guacamole,$13.50 Big Island Ginger Ahi Poke,$11 Local Lettuce Wrap,$4.50 French Fries,$3 Edamame,$17 Beer Batter Fish & Chips,$16 Kauai Garlic Shrimp (6pc),$9 Organic Beets Salad,$9 Organic Carrot Salad,,,,,,,,,,,,,,,,,,,,
79,TEX 808 BBQ & Brews,2299 Kuhio Ave,Honolulu,HI,96815,(808) 888-2495,https://tex808.square.site/home,21.27929928,-157.826414,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,3/2/2022,https://tex808.square.site/,1/2 Off Select Apps,$4 PBR,$5 Modelo,$5 Frozen Margaritas,$5 Titos,$8 Pineapple Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,TEX 808 BBQ & Brews,2299 Kuhio Ave,Honolulu,HI,96815,(808) 888-2495,https://tex808.square.site/home,21.27929928,-157.826414,9:00 PM,11:00 PM,9:00 PM,11:00 PM,9:00 PM,11:00 PM,9:00 PM,11:00 PM,9:00 PM,11:59 PM,9:00 PM,11:59 PM,9:00 PM,11:00 PM,3/2/2022,https://tex808.square.site/,1/2 Off Select Apps,$4 PBR,$5 Modelo,$5 Frozen Margaritas,$5 Titos,$8 Pineapple Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Aloha Beer Downtown,220 S King St,Honolulu,HI,96813,(808) 200-5353,https://www.alohabeer.co/,21.30783314,-157.8605176,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,,,,,,,,,7/30/2022,https://www.alohabeer.co/,"$2 Off All Aloha Beer On Tap (Includes Pints, Pitchers, Growler Fills)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
